tvoc,eco2,iaq
2814.901424590337,2082.15590744933,4.333879912360145
2812.819953203659,2084.636977291659,4.333048132597103
2853.3657504896482,2106.0456396833374,4.330051904113895
2896.5918619112435,2139.059297616207,4.355822719717305
2860.8402265626564,2128.4759212522126,4.357258634791473
2877.8019004220437,2118.970718681814,4.341549596060615
2949.160224796396,2179.504339855522,4.383126027172437
2941.7606935469053,2157.2396954046744,4.375616212265761
2921.6025420006554,2144.485253075424,4.358212606151887
2968.907337967873,2189.5303489641556,4.376303733389788
2955.6657409543163,2182.618808352666,4.390297265750378
2972.5274172664567,2192.0305497275003,4.385985385432148
3010.6818505360607,2193.251136239455,4.388548883829683
2962.940213560562,2173.104618355617,4.373807793174535
2985.498022364179,2199.5286993385407,4.3827512964553055
3037.27449810571,2222.7801172690647,4.390181521076331
3040.645719866457,2213.6505034578995,4.375118547194185
3097.3348988405787,2262.9841186956014,4.43116503880721
3077.5322113412385,2239.3712542148287,4.407204390051169
3079.2572405832125,2265.4995928338494,4.410076191658337
3182.4365303692543,2324.910332845735,4.432047458881896
3148.5211265186526,2295.153650174747,4.4165542645261215
3174.1335778781336,2318.0902137745775,4.42863224664489
3146.1639063014254,2288.3462572820886,4.407305342569852
3189.3581308023836,2321.26925342518,4.457177241472574
3225.78452854022,2350.2479200771522,4.4314280444975465
3204.6775972908013,2325.261545192424,4.428026005036306
3267.211552834375,2357.7750599854826,4.450023235827832
3254.63665230026,2335.7357717983846,4.46407303926859
3280.6015341095913,2367.5295852085396,4.4580140559065216
3287.978355319524,2381.0212450373374,4.447404504836145
3378.2551211311293,2436.409406954354,4.495523271898435
3338.918437727899,2408.3947132939234,4.480174747397887
3324.2073053938184,2389.111392286669,4.474466228102004
3397.2083031311204,2418.5567661891964,4.495010906073996
3352.477357149425,2406.5342633096075,4.500294939415676
3411.9160193091893,2444.106162874974,4.513486496772725
3363.3835329569324,2414.900830102259,4.472288612187464
3398.827008242952,2445.4817685155504,4.504508652047727
3461.052156033825,2496.4880577304434,4.508102236306287
3493.748171201886,2497.4841947395425,4.517669059327576
3493.156553085464,2493.7266139597136,4.495603262476972
3500.940214483912,2497.971910560306,4.512823626070552
3511.742890379468,2508.289581896758,4.5091770787656404
3492.758213439969,2487.3719904604977,4.5207041287477825
3531.8273071659733,2520.2983698870444,4.533180683989564
3555.882474819277,2538.037608254884,4.507910630014793
3617.6639106039597,2572.6952069981207,4.544321799800976
3612.4763579890327,2572.0612341334677,4.554426821387979
3565.4624892430593,2543.614969639321,4.529252136182223
3644.2297774584426,2568.818899652601,4.55866400779648
3639.0753963372326,2589.8139393862934,4.553559613734417
3646.4072163455553,2581.1341813507083,4.555349886522669
3701.117946515077,2609.712376279007,4.563288607894623
3729.715560920056,2626.7848182734833,4.561189621909515
3742.706399501228,2649.9592558054624,4.565480629826066
3705.537762989805,2621.0969085216343,4.574231807056217
3737.3474524616463,2625.588783637134,4.575512498902469
3772.433875689435,2668.2407035655838,4.582955017016926
3807.5964626746086,2670.1617962967766,4.589143047121675
3779.7503795879566,2669.2484413379557,4.583169637724953
3804.312073205831,2684.972233180229,4.603006508197809
3792.408144709952,2684.3006576429216,4.5861239392495925
3805.3878415711583,2701.0495528073634,4.579403369270996
3881.2845371647195,2715.123959039826,4.619766827312043
3913.1889439061742,2747.3886277830743,4.618485533222941
3885.8920624841585,2728.7718845400527,4.613829060436968
3933.6660045196004,2764.5370995713697,4.641875612797606
3929.873165693806,2760.08058712562,4.624618922747759
3915.0903648328576,2745.5287564723485,4.623915073402493
3960.6608943402575,2771.987514718046,4.620952137917368
4011.289780824087,2795.6093599426117,4.643563534831256
3979.3575438322378,2797.493142123408,4.643644343151804
4042.608655762306,2830.157235273379,4.638259917000466
3932.266792182279,2768.537757287319,4.6274484832066
4050.6581978808463,2827.2909573637526,4.65689144732438
4043.7060924503608,2819.6553007832717,4.654508726900253
4047.1690016456446,2817.5182503210945,4.665357903695463
4073.886977144477,2847.9213621240924,4.665201036414207
4026.4518158204755,2805.4731572470027,4.664439757337401
4094.3826635263717,2875.1162288054884,4.657191075465127
4126.528753480358,2862.8408262772805,4.676752353709991
4174.942786928115,2907.702273348994,4.688687098788272
4129.795897225114,2893.5460854072057,4.665540685777478
4135.774100745252,2887.4553580397896,4.687333433069693
4159.607389487639,2897.521170817501,4.707145776069635
4216.699065348246,2920.3346027393286,4.698409698916139
4213.621569486519,2914.355249806234,4.702838614464985
4202.332824286351,2929.100195660986,4.695730768146072
4248.034236073605,2963.8820140519124,4.699501528291284
